ID,MappingID,EntityType,RawValue,NormalizedValue,CanonicalValue,Decision,MatchMethod,Confidence,SourceURL,Timestamp
1,map_70ecd10b-6df9-46c7-b81a-87521c0bd0a6,STARTUP,OpenAI,openai,OpenAI,NO_MATCH,SEED_EXACT,1.0,https://ycombinator.com/companies/openai,2026-09-10T08:48:40Z
2,map_51f4af0f-43a7-4a7b-bdd7-f9a55aabe204,STARTUP,OpenAI,openai,OpenAI,NO_MATCH,SEED_EXACT,1.0,https://ycombinator.com/companies/openai,2026-09-10T08:49:00Z
3,map_001893ce-a5c4-486d-b387-5c39e07eaa9b,PRODUCT,OpenAI,openai,OpenAI,NO_MATCH,SEED_EXACT,1.0,https://producthunt.com/products/chatgpt,2026-09-10T08:49:03Z
4,map_986321a8-105d-4af6-b87b-0adb54d3cdfa,JOB,OpenAI,openai,OpenAI,NO_MATCH,SEED_EXACT,1.0,https://workatastartup.com/jobs/654321,2026-09-10T08:49:08Z
5,map_cbff4d14-cd69-430e-a6d5-f1f78857644f,STARTUP,openai.com,openai com,OpenAI,DOMAIN_MATCH,EXACT_DOMAIN_MATCH,1.0,https://openai.com/test,2026-09-10T11:38:27Z
6,map_72e3e3c7-7c35-4df3-b01e-97cbaabb03c5,STARTUP,openai.com,openai com,OpenAI,DOMAIN_MATCH,EXACT_DOMAIN_MATCH,1.0,https://openai.com/test,2026-09-10T11:38:44Z
7,map_edeb05df-c1a7-496b-b53b-755076c59e96,STARTUP,OpenAI,openai,OpenAI,DOMAIN_MATCH,EXACT_DOMAIN_MATCH,1.0,https://openai.com/about,2026-09-10T11:39:17Z
8,map_a5648119-3625-4624-96cb-17b71dc5c52f,STARTUP,OpenAI,openai,OpenAI,DOMAIN_MATCH,EXACT_DOMAIN_MATCH,1.0,https://openai.com/about,2026-09-10T11:39:33Z
9,map_0344211d-8e71-4d18-9128-a66531015d26,STARTUP,Open AI,open ai,OpenAI,ALIAS_MATCH,ALIAS_EXACT_MATCH,1.0,https://news.ycombinator.com/item?id=123,2026-09-10T11:39:33Z
10,map_0aacc2d5-531c-4862-b3b9-335e106092ac,STARTUP,OpenAI Inc.,openai,OpenAI,DOMAIN_MATCH,EXACT_DOMAIN_MATCH,1.0,https://crunchbase.com/organization/openai,2026-09-10T11:39:33Z
11,map_330ff809-4589-4475-9678-c5374eb7dd59,STARTUP,openai.com,openai com,OpenAI,DOMAIN_MATCH,EXACT_DOMAIN_MATCH,1.0,https://openai.com,2026-09-10T11:39:33Z
12,map_08908fb5-aa15-4d19-894d-6fe382f9b258,STARTUP,OpenAI Labs,openai labs,Openai Labs,NO_MATCH,NO_MATCH_UNRESOLVED,0.0,https://example.com/openai-labs,2026-09-10T11:39:33Z
13,map_96443967-f357-43db-bbdd-0bddaf799d64,STARTUP,Apple Records,apple records,Apple Records,NO_MATCH,NO_MATCH_UNRESOLVED,0.0,https://example.com/apple-records,2026-09-10T11:39:33Z
14,map_bc760481-37d4-44c1-8a6f-d93b8bdf19ff,STARTUP,Amazon Web Services,amazon web services,Amazon Web Services,NO_MATCH,NO_MATCH_UNRESOLVED,0.0,https://aws.amazon.com,2026-09-10T11:39:33Z
15,map_31bd0198-857f-496e-99c6-8e8942b9085e,RESEARCH_PAPER,PapersWithCode Sample Paper,paperswithcode sample paper,Paperswithcode Sample Paper,NO_MATCH,NO_MATCH_UNRESOLVED,0.0,https://paperswithcode.co/paper/test-paper-b468dddb,2026-09-10T11:40:14Z
16,map_d275682d-1ace-4b95-bb44-318fd71916db,RESEARCH_PAPER,Attention Is All You Need,attention is all you need,Attention Is All You Need,NO_MATCH,NO_MATCH_UNRESOLVED,0.0,https://arxiv.org/abs/1706.03762?test_id=320bd891-7eaa-4fcd-a44f-4f677d40862f,2026-09-10T11:40:16Z
17,map_28c8dc78-61f6-42dc-84e1-0e613f824187,STARTUP,openai.com,openai com,OpenAI,DOMAIN_MATCH,EXACT_DOMAIN_MATCH,1.0,https://openai.com/test,2026-09-10T11:40:18Z
18,map_ca5a75e6-cc57-4469-b3cc-7e7f12a9baf7,STARTUP,OpenAI,openai,OpenAI,DOMAIN_MATCH,EXACT_DOMAIN_MATCH,1.0,https://openai.com/about,2026-09-10T11:43:38Z
19,map_0ce6a4b9-4949-4d7c-9643-109d0289357d,STARTUP,Open AI,open ai,OpenAI,ALIAS_MATCH,ALIAS_EXACT_MATCH,1.0,https://news.ycombinator.com/item?id=123,2026-09-10T11:43:38Z
20,map_2726914e-b829-4895-8d85-285f53ff26ea,STARTUP,OpenAI Inc.,openai,OpenAI,EXACT_NAME_MATCH,EXACT_NAME_MATCH,1.0,https://some-news-site.com/article,2026-09-10T11:43:38Z
